tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites2017,unicast2017,combined2017,|,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites21,unicast21,combined21,classification17,classification21
movie.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
allstate.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
kpmg.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
forum.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
academy.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xn--90ais.,7,7,7,0,0,0,7,0,7,7,|,5,5,5,0,0,0,5,0,5,5,Unicast,Unicast
off.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
abbott.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
bbc.,8,8,8,8,50,50,0,50,0,50,|,8,8,8,8,89,89,0,89,0,89,Anycast,Anycast
supply.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
raid.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
cal.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
tel.,8,8,8,7,93,93,1,93,1,94,|,8,8,8,7,123,123,1,123,1,124,Mixed,Mixed
jewelry.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
goldpoint.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xn--9et52u.,9,9,9,2,9,6,6,6,6,12,|,8,8,8,4,19,15,3,15,3,18,Mixed,Mixed
lgbt.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
leclerc.,3,3,3,2,62,62,1,62,1,63,|,3,3,3,3,68,68,0,68,0,68,Mixed,Anycast
ibm.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
voyage.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
buzz.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
win.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
xn--ygbi2ammx.,4,4,4,0,0,0,4,0,4,4,|,4,4,4,0,0,0,4,0,4,4,Unicast,Unicast
airforce.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
northwesternmutual.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
food.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
aaa.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
plumbing.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
juegos.,5,5,5,5,28,28,0,28,0,28,|,4,4,4,4,27,27,0,27,0,27,Anycast,Anycast
school.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xn--80asehdb.,4,4,4,2,18,9,0,9,0,9,|,4,4,4,2,24,12,0,12,0,12,Anycast,Anycast
creditcard.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
mtn.,4,4,4,4,34,34,0,34,0,34,|,8,8,8,8,89,89,0,89,0,89,Anycast,Anycast
mitsubishi.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
loft.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
srl.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
winners.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
college.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
xn--80ao21a.,2,2,2,0,0,0,2,0,2,2,|,2,2,2,1,3,3,1,3,1,4,Unicast,Mixed
xn--mgba3a4f16a.,2,2,2,0,0,0,2,0,2,2,|,2,2,2,0,0,0,2,0,2,2,Unicast,Unicast
android.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
suzuki.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
wtc.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
gent.,4,4,4,1,10,5,2,5,2,7,|,4,4,4,4,65,65,0,65,0,65,Mixed,Anycast
neustar.,6,6,6,6,69,69,0,69,0,69,|,6,6,6,6,103,103,0,103,0,103,Anycast,Anycast
politie.,5,5,5,0,0,0,5,0,5,5,|,3,3,3,3,48,48,0,48,0,48,Unicast,Anycast
sony.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
bingo.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
vet.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
fishing.,8,8,8,8,50,50,0,50,0,50,|,8,8,8,8,96,96,0,96,0,96,Anycast,Anycast
genting.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
day.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
stada.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
xn--clchc0ea0b2g2a9gcd.,5,5,5,3,62,62,2,62,2,64,|,5,5,5,5,79,79,0,79,0,79,Mixed,Anycast
diy.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
skin.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
dubai.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
kiwi.,2,2,2,2,9,9,0,9,0,9,|,2,2,2,2,19,19,0,19,0,19,Anycast,Anycast
xn--80adxhks.,4,4,4,2,9,9,2,9,2,11,|,4,4,4,2,12,12,2,12,2,14,Mixed,Mixed
hangout.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
xn--mgbai9azgqp6j.,3,3,3,0,0,0,3,0,3,3,|,3,3,3,0,0,0,3,0,3,3,Unicast,Unicast
camera.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
watches.,6,6,6,6,69,69,0,69,0,69,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
caravan.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
homesense.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
qvc.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
xn--tckwe.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
tdk.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
hermes.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,47,47,0,47,0,47,Anycast,Anycast
barclays.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
swiftcover.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
ruhr.,4,4,4,2,18,9,0,9,0,9,|,4,4,4,2,24,12,0,12,0,12,Anycast,Anycast
latrobe.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
feedback.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
creditunion.,4,4,4,4,33,33,0,33,0,33,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
channel.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
oracle.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
dog.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
hitachi.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
zero.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
mma.,3,3,3,2,62,62,1,62,1,63,|,3,3,3,3,68,68,0,68,0,68,Mixed,Anycast
corsica.,3,3,3,2,62,62,1,62,1,63,|,3,3,3,3,68,68,0,68,0,68,Mixed,Anycast
fitness.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
woodside.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
alfaromeo.,4,4,4,4,33,33,0,33,0,33,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
hsbc.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
rogers.,4,4,4,4,33,33,0,33,0,33,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
xn--lgbbat1ad8j.,2,2,2,0,0,0,2,0,2,2,|,2,2,2,0,0,0,2,0,2,2,Unicast,Unicast
wanggou.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
ericsson.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
circle.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
juniper.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
tattoo.,4,4,4,4,23,23,0,23,0,23,|,4,4,4,4,27,27,0,27,0,27,Anycast,Anycast
pics.,4,4,4,4,23,23,0,23,0,23,|,4,4,4,4,27,27,0,27,0,27,Anycast,Anycast
ollo.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
cam.,4,4,4,2,96,48,0,48,0,48,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
xn--c2br7g.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
teva.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
sarl.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
fast.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
analytics.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
sakura.,4,4,4,1,8,4,2,4,2,6,|,4,4,4,1,10,5,2,5,2,7,Mixed,Mixed
xn--gecrj9c.,8,8,8,6,46,46,2,46,2,48,|,6,6,6,6,113,113,0,113,0,113,Mixed,Anycast
xn--mgbab2bd.,4,4,4,2,18,9,0,9,0,9,|,4,4,4,2,24,12,0,12,0,12,Anycast,Anycast
gives.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
gucci.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,89,89,0,89,0,89,Anycast,Anycast
museum.,5,5,5,3,13,13,2,13,2,15,|,3,3,3,3,68,68,0,68,0,68,Mixed,Anycast
gbiz.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
versicherung.,3,3,3,2,10,10,1,10,1,11,|,3,3,3,2,21,21,1,21,1,22,Mixed,Mixed
bauhaus.,4,4,4,2,18,9,0,9,0,9,|,4,4,4,2,24,12,0,12,0,12,Anycast,Anycast
condos.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xbox.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
delivery.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
nra.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,55,55,0,55,0,55,Anycast,Anycast
homedepot.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,55,55,0,55,0,55,Anycast,Anycast
calvinklein.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
green.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
playstation.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
anz.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
run.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
bom.,6,6,6,4,16,16,2,16,2,18,|,6,6,6,5,25,25,1,25,1,26,Mixed,Mixed
lipsy.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
sew.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
marketing.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
sky.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
xn--90ae.,6,6,6,2,39,39,4,39,4,43,|,6,6,6,2,46,46,4,46,4,50,Mixed,Mixed
men.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
