tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites2017,unicast2017,combined2017,|,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites21,unicast21,combined21,classification17,classification21
meet.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
basketball.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
dad.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
camp.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
banamex.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
tjmaxx.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
coach.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
expert.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
uno.,6,6,6,6,65,65,0,65,0,65,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
xn--30rr7y.,9,9,9,2,9,6,6,6,6,12,|,8,8,8,4,19,15,3,15,3,18,Mixed,Mixed
xn--nqv7fs00ema.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,53,53,0,53,0,53,Anycast,Anycast
xn--qcka1pmc.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
paris.,4,4,4,3,68,68,1,68,1,69,|,4,4,4,4,76,76,0,76,0,76,Mixed,Anycast
yahoo.,6,6,6,6,65,65,0,65,0,65,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
yun.,4,4,4,3,9,9,1,9,1,10,|,4,4,4,3,10,10,1,10,1,11,Mixed,Mixed
cool.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
chintai.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
band.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
recipes.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
office.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
ninja.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
nhk.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
arpa.,12,12,12,10,219,219,2,219,2,221,|,12,12,12,11,302,302,1,302,1,303,Mixed,Mixed
xn--j6w193g.,8,8,8,2,59,59,6,59,6,65,|,8,8,8,3,68,68,5,68,5,73,Mixed,Mixed
country.,4,4,4,4,63,63,0,63,0,63,|,4,4,4,4,27,27,0,27,0,27,Anycast,Anycast
prudential.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
xn--czr694b.,9,9,9,2,9,6,6,6,6,12,|,8,8,8,4,19,15,3,15,3,18,Mixed,Mixed
promo.,4,4,4,4,33,33,0,33,0,33,|,4,4,4,4,54,54,0,54,0,54,Anycast,Anycast
moi.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
stcgroup.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
showtime.,4,4,4,4,36,36,0,36,0,36,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
gmx.,4,4,4,2,18,9,0,9,0,9,|,4,4,4,2,24,12,0,12,0,12,Anycast,Anycast
ferrari.,4,4,4,4,33,33,0,33,0,33,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
origins.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
ricoh.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
club.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
ril.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,54,54,0,54,0,54,Anycast,Anycast
firestone.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
wang.,9,9,9,2,9,6,6,6,6,12,|,8,8,8,4,19,15,3,15,3,18,Mixed,Mixed
americanfamily.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
biz.,6,6,6,6,52,52,0,52,0,52,|,6,6,6,6,102,102,0,102,0,102,Anycast,Anycast
total.,3,3,3,2,62,62,1,62,1,63,|,3,3,3,3,68,68,0,68,0,68,Mixed,Anycast
navy.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
university.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
info.,6,6,6,6,45,45,0,45,0,45,|,6,6,6,6,86,86,0,86,0,86,Anycast,Anycast
healthcare.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
gripe.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
clinic.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
tci.,4,4,4,4,61,61,0,61,0,61,|,4,4,4,4,122,122,0,122,0,122,Anycast,Anycast
nikon.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
photography.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xn--flw351e.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
mtr.,4,4,4,0,0,0,4,0,4,4,|,4,4,4,1,2,2,3,2,3,5,Unicast,Mixed
grainger.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
alstom.,4,4,4,2,18,9,0,9,0,9,|,4,4,4,2,24,12,0,12,0,12,Anycast,Anycast
systems.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
bid.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
xn--mgbpl2fh.,2,2,2,1,35,35,1,35,1,36,|,2,2,2,1,37,37,1,37,1,38,Mixed,Mixed
aetna.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
build.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
consulting.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
cipriani.,4,4,4,4,33,33,0,33,0,33,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
mango.,4,4,4,2,18,9,0,9,0,9,|,4,4,4,2,24,12,0,12,0,12,Anycast,Anycast
java.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
philips.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
pay.,6,6,6,6,69,69,0,69,0,69,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
lol.,4,4,4,4,23,23,0,23,0,23,|,4,4,4,4,27,27,0,27,0,27,Anycast,Anycast
akdn.,4,4,4,4,33,33,0,33,0,33,|,4,4,4,4,54,54,0,54,0,54,Anycast,Anycast
rehab.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
bloomberg.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
joburg.,3,3,3,1,24,24,2,24,2,26,|,3,3,3,1,24,24,2,24,2,26,Mixed,Mixed
pizza.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
photos.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
makeup.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
brother.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xn--mk1bu44c.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
song.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
pwc.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
volkswagen.,4,4,4,4,36,36,0,36,0,36,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
eurovision.,4,4,4,2,18,9,0,9,0,9,|,4,4,4,2,24,12,0,12,0,12,Anycast,Anycast
express.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
virgin.,4,4,4,4,34,34,0,34,0,34,|,8,8,8,8,89,89,0,89,0,89,Anycast,Anycast
xn--l1acc.,3,3,3,0,0,0,3,0,3,3,|,3,3,3,0,0,0,3,0,3,3,Unicast,Unicast
xn--fiqz9s.,5,5,5,4,12,12,1,12,1,13,|,7,7,7,3,9,9,4,9,4,13,Mixed,Mixed
aco.,4,4,4,4,33,33,0,33,0,33,|,3,3,3,2,21,21,1,21,1,22,Anycast,Mixed
crown.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
reisen.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
bnpparibas.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,53,53,0,53,0,53,Anycast,Anycast
lpl.,4,4,4,1,10,5,2,5,2,7,|,4,4,4,4,65,65,0,65,0,65,Mixed,Anycast
tech.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
reviews.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
pictures.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xn--g2xx48c.,6,6,6,6,69,69,0,69,0,69,|,6,6,6,6,99,99,0,99,0,99,Anycast,Anycast
jmp.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
lexus.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
cloud.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
prime.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
auto.,4,4,4,4,23,23,0,23,0,23,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
theater.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
ski.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,54,54,0,54,0,54,Anycast,Anycast
xihuan.,4,4,4,3,9,9,1,9,1,10,|,4,4,4,3,10,10,1,10,1,11,Mixed,Mixed
best.,6,6,6,6,65,65,0,65,0,65,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
scjohnson.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
software.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
group.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
rodeo.,8,8,8,8,50,50,0,50,0,50,|,8,8,8,8,96,96,0,96,0,96,Anycast,Anycast
koeln.,4,4,4,2,18,9,0,9,0,9,|,3,3,3,1,5,5,2,5,2,7,Anycast,Mixed
hair.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
kpn.,4,4,4,1,10,5,2,5,2,7,|,4,4,4,4,65,65,0,65,0,65,Mixed,Anycast
weir.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
infiniti.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
health.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
target.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
taipei.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
apartments.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
tatamotors.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
tvs.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
tickets.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
rent.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
xn--w4r85el8fhu5dnra.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
jnj.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
enterprises.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
here.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
management.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
hughes.,4,4,4,4,33,33,0,33,0,33,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
case.,4,4,4,4,37,37,0,37,0,37,|,4,4,4,4,53,53,0,53,0,53,Anycast,Anycast
beer.,8,8,8,8,50,50,0,50,0,50,|,8,8,8,8,96,96,0,96,0,96,Anycast,Anycast
rio.,6,6,6,4,16,16,2,16,2,18,|,6,6,6,5,25,25,1,25,1,26,Mixed,Mixed
skype.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
review.,6,6,6,6,69,69,0,69,0,69,|,6,6,6,6,99,99,0,99,0,99,Anycast,Anycast
hyatt.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
christmas.,4,4,4,4,23,23,0,23,0,23,|,4,4,4,4,27,27,0,27,0,27,Anycast,Anycast
zappos.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
film.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xyz.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
locker.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
americanexpress.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
jaguar.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
bcg.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
clothing.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
nec.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
tjx.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
natura.,4,4,4,4,35,35,0,35,0,35,|,6,6,6,5,25,25,1,25,1,26,Anycast,Mixed
bmw.,4,4,4,2,96,48,0,48,0,48,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
pioneer.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
dev.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
baseball.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
africa.,3,3,3,1,24,24,2,24,2,26,|,3,3,3,1,24,24,2,24,2,26,Mixed,Mixed
ifm.,4,4,4,2,18,9,0,9,0,9,|,4,4,4,2,24,12,0,12,0,12,Anycast,Anycast
commbank.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
forex.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
redumbrella.,4,4,4,4,31,31,0,31,0,31,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
emerck.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
secure.,6,6,6,6,69,69,0,69,0,69,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
pin.,6,6,6,6,69,69,0,69,0,69,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
productions.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
avianca.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
taobao.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
fish.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
pharmacy.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
mom.,4,4,4,4,23,23,0,23,0,23,|,4,4,4,4,27,27,0,27,0,27,Anycast,Anycast
itau.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
weather.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
lancaster.,3,3,3,2,62,62,1,62,1,63,|,3,3,3,3,68,68,0,68,0,68,Mixed,Anycast
nba.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
attorney.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
ses.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
physio.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
ltda.,4,4,4,4,32,32,0,32,0,32,|,4,4,4,4,53,53,0,53,0,53,Anycast,Anycast
pnc.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,53,53,0,53,0,53,Anycast,Anycast
education.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
macys.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
saxo.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xn--b4w605ferd.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,49,49,0,49,0,49,Anycast,Anycast
got.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
xn--cck2b3b.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
car.,4,4,4,4,23,23,0,23,0,23,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
tushu.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
statefarm.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
careers.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
gap.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
fire.,6,6,6,6,65,65,0,65,0,65,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
viajes.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
show.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
protection.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
xn--fpcrj9c3d.,8,8,8,6,46,46,2,46,2,48,|,6,6,6,6,113,113,0,113,0,113,Mixed,Anycast
shaw.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
scb.,4,4,4,1,22,22,3,22,3,25,|,4,4,4,1,20,20,3,20,3,23,Mixed,Mixed
surgery.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
apple.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
xn--y9a3aq.,6,6,6,3,61,61,3,61,3,64,|,4,4,4,2,57,57,2,57,2,59,Mixed,Mixed
wed.,4,4,4,4,61,61,0,61,0,61,|,8,8,8,8,96,96,0,96,0,96,Anycast,Anycast
schule.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
allfinanz.,4,4,4,2,96,48,0,48,0,48,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
earth.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
xn--fzc2c9e2c.,8,8,8,2,57,57,6,57,6,63,|,8,8,8,2,57,57,6,57,6,63,Mixed,Mixed
page.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
volvo.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
intuit.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
menu.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xn--fzys8d69uvgm.,4,4,4,4,36,36,0,36,0,36,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
cancerresearch.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
ink.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
budapest.,8,8,8,8,50,50,0,50,0,50,|,8,8,8,8,96,96,0,96,0,96,Anycast,Anycast
bet.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,54,54,0,54,0,54,Anycast,Anycast
law.,8,8,8,8,50,50,0,50,0,50,|,8,8,8,8,96,96,0,96,0,96,Anycast,Anycast
xn--efvy88h.,9,9,9,2,9,6,6,6,6,12,|,8,8,8,4,19,15,3,15,3,18,Mixed,Mixed
exposed.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xn--9dbq2a.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
capitalone.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
xn--42c2d9a.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
gdn.,3,3,3,2,10,10,1,10,1,11,|,3,3,3,2,21,21,1,21,1,22,Mixed,Mixed
ren.,9,9,9,2,9,6,6,6,6,12,|,8,8,8,4,19,15,3,15,3,18,Mixed,Mixed
hamburg.,3,3,3,2,10,10,1,10,1,11,|,3,3,3,2,21,21,1,21,1,22,Mixed,Mixed
netbank.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
science.,6,6,6,6,69,69,0,69,0,69,|,6,6,6,6,99,99,0,99,0,99,Anycast,Anycast
auction.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
army.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
lds.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,49,49,0,49,0,49,Anycast,Anycast
baidu.,5,5,5,4,9,9,1,9,1,10,|,8,8,8,4,19,15,3,15,3,18,Mixed,Mixed
media.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xn--i1b6b1a6a2e.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,53,53,0,53,0,53,Anycast,Anycast
wolterskluwer.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
samsclub.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
boston.,8,8,8,8,50,50,0,50,0,50,|,8,8,8,8,96,96,0,96,0,96,Anycast,Anycast
trade.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
space.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
onl.,4,4,4,4,37,37,0,37,0,37,|,4,4,4,4,52,52,0,52,0,52,Anycast,Anycast
nagoya.,6,6,6,6,48,48,0,48,0,48,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
next.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
press.,4,4,4,4,29,29,0,29,0,29,|,4,4,4,4,65,65,0,65,0,65,Anycast,Anycast
coupon.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
fage.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
hosting.,4,4,4,4,23,23,0,23,0,23,|,4,4,4,4,27,27,0,27,0,27,Anycast,Anycast
xn--w4rs40l.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
guardian.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
furniture.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
cafe.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
man.,4,4,4,2,18,9,0,9,0,9,|,4,4,4,2,24,12,0,12,0,12,Anycast,Anycast
date.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
