kw.,6,6,6,1,4,4,5,4,5,9,|,6,6,6,2,51,51,4,51,4,55,Mixed,Mixed
fr.,5,5,5,3,66,66,2,66,2,68,|,4,4,4,3,68,68,1,68,1,69,Mixed,Mixed
ki.,4,4,4,4,70,70,0,70,0,70,|,2,2,2,1,37,37,1,37,1,38,Anycast,Mixed
th.,6,6,6,1,22,22,5,22,5,27,|,5,5,5,2,57,57,3,57,3,60,Mixed,Mixed
tz.,7,7,7,3,43,43,4,43,4,47,|,6,6,6,3,44,44,3,44,3,47,Mixed,Mixed
lc.,6,6,6,6,47,47,0,47,0,47,|,6,6,6,6,87,87,0,87,0,87,Anycast,Anycast
ye.,4,4,4,0,0,0,4,0,4,4,|,4,4,4,0,0,0,4,0,4,4,Unicast,Unicast
bn.,4,4,4,2,57,57,2,57,2,59,|,4,4,4,3,64,64,1,64,1,65,Mixed,Mixed
pl.,8,8,8,2,32,32,6,32,6,38,|,9,9,9,4,56,56,5,56,5,61,Mixed,Mixed
cu.,6,6,6,0,0,0,6,0,6,6,|,6,6,6,1,3,3,5,3,5,8,Unicast,Mixed
cn.,6,6,6,4,17,17,2,17,2,19,|,8,8,8,3,10,10,5,10,5,15,Mixed,Mixed
fo.,4,4,4,1,35,35,3,35,3,38,|,4,4,4,4,65,65,0,65,0,65,Mixed,Anycast
az.,3,3,3,1,6,6,2,6,2,8,|,2,2,2,1,3,3,1,3,1,4,Mixed,Mixed
iq.,5,5,5,4,57,57,1,57,1,58,|,4,4,4,2,40,40,2,40,2,42,Mixed,Mixed
mt.,6,6,6,2,39,39,4,39,4,43,|,4,4,4,1,37,37,3,37,3,40,Mixed,Mixed
de.,6,6,6,3,31,31,3,31,3,34,|,6,6,6,3,35,35,3,35,3,38,Mixed,Mixed
so.,2,2,2,1,35,35,1,35,1,36,|,2,2,2,2,41,41,0,41,0,41,Mixed,Anycast
kh.,4,4,4,0,0,0,4,0,4,4,|,4,4,4,1,7,7,3,7,3,10,Unicast,Mixed
lr.,3,3,3,0,0,0,3,0,3,3,|,3,3,3,1,4,4,2,4,2,6,Unicast,Mixed
gu.,4,4,4,0,0,0,4,0,4,4,|,4,4,4,2,5,5,2,5,2,7,Unicast,Mixed
ro.,6,6,6,1,4,4,5,4,5,9,|,6,6,6,1,5,5,5,5,5,10,Mixed,Mixed
