ip4_prefix,number
65.22.58.0,5
104.25.7.0,40
23.1.106.0,8
104.31.196.0,39
65.22.200.0,4
64.6.64.0,8
104.28.155.0,40
156.154.65.0,13
104.27.41.0,42
172.64.47.0,12
104.25.89.0,39
8.19.31.0,5
192.230.89.0,6
104.20.24.0,46
104.28.130.0,43
104.24.231.0,43
104.16.50.0,42
70.40.2.0,9
104.31.114.0,37
194.146.107.0,22
104.24.113.0,40
130.211.25.0,27
74.125.34.0,9
209.236.200.0,3
104.24.89.0,43
172.64.1.0,16
104.27.121.0,40
203.119.88.0,23
65.22.224.0,4
104.24.226.0,44
216.168.228.0,5
162.159.8.0,47
23.1.35.0,4
162.159.26.0,46
103.61.61.0,3
173.194.247.0,10
104.16.5.0,42
107.162.137.0,7
104.27.193.0,42
151.139.246.0,16
104.29.24.0,37
104.24.151.0,44
104.17.67.0,44
167.89.31.0,3
210.130.232.0,4
69.25.81.0,9
185.167.176.0,8
130.211.39.0,28
104.24.34.0,42
199.182.32.0,16
178.248.239.0,9
104.20.16.0,43
104.16.247.0,43
104.31.164.0,39
104.17.192.0,42
104.31.160.0,40
167.89.70.0,3
65.22.201.0,3
104.23.111.0,46
104.20.69.0,43
104.19.93.0,44
167.89.40.0,3
216.146.36.0,6
199.249.125.0,13
104.27.127.0,40
198.41.208.0,46
104.27.45.0,40
104.17.140.0,40
198.37.155.0,3
104.31.155.0,40
125.125.125.0,2
70.40.11.0,9
162.251.32.0,3
204.246.1.0,7
23.249.49.0,5
216.108.239.0,6
104.27.144.0,40
130.211.28.0,27
23.7.244.0,5
104.20.83.0,46
35.186.198.0,30
35.190.85.0,28
104.23.133.0,43
104.25.120.0,42
192.229.162.0,9
65.22.228.0,4
104.31.83.0,39
192.40.100.0,3
107.154.85.0,3
103.28.250.0,4
107.162.138.0,6
104.17.93.0,44
104.17.78.0,45
167.89.35.0,3
65.22.25.0,4
104.25.10.0,40
213.227.160.0,13
104.17.57.0,44
104.17.93.0,45
207.171.170.0,15
104.30.10.0,37
35.186.248.0,28
104.28.36.0,40
156.154.177.0,7
104.28.208.0,43
13.107.4.0,35
107.178.247.0,30
150.164.159.0,2
104.17.150.0,43
104.24.174.0,44
195.47.253.0,6
103.49.81.0,3
194.0.10.0,6
65.22.85.0,4
151.101.158.0,13
104.25.164.0,42
65.22.173.0,4
104.20.159.0,47
104.24.160.0,40
167.89.52.0,3
172.64.102.0,43
213.248.221.0,3
104.27.206.0,40
185.136.96.0,10
192.229.218.0,10
104.16.86.0,43
184.31.10.0,8
104.17.17.0,42
199.7.69.0,10
