ip4_prefix,number
104.31.72.0,42
104.16.9.0,44
104.28.61.0,43
104.22.1.0,42
216.239.37.0,27
185.40.154.0,7
209.200.154.0,7
35.190.98.0,26
104.28.42.0,40
104.19.116.0,44
72.21.81.0,9
104.25.40.0,40
104.23.130.0,43
104.24.138.0,40
45.64.64.0,4
69.169.229.0,2
151.101.196.0,13
104.24.129.0,43
199.96.57.0,16
192.229.221.0,6
35.186.209.0,27
104.17.238.0,43
69.66.1.0,3
207.223.161.0,10
107.154.202.0,4
104.16.75.0,42
165.87.13.0,5
104.20.202.0,42
104.17.11.0,42
104.17.200.0,42
151.101.210.0,2
168.245.15.0,3
104.28.171.0,42
192.55.83.0,4
172.85.90.0,8
65.22.90.0,5
35.186.237.0,30
104.16.28.0,44
104.27.213.0,42
192.82.133.0,6
104.17.211.0,43
130.211.32.0,27
104.25.200.0,40
104.17.17.0,43
104.25.150.0,40
104.31.30.0,44
192.230.110.0,3
104.28.227.0,40
35.190.27.0,29
104.28.170.0,40
192.16.36.0,9
104.17.54.0,44
166.102.165.0,3
50.212.120.0,2
104.17.177.0,43
72.21.80.0,19
198.241.10.0,8
204.80.128.0,9
65.22.82.0,4
104.28.179.0,40
104.19.130.0,40
194.169.218.0,6
192.220.124.0,3
172.64.104.0,42
104.17.217.0,44
45.54.43.0,4
104.25.156.0,40
104.24.165.0,40
65.22.89.0,4
104.28.29.0,42
156.154.67.0,8
150.164.69.0,2
104.25.6.0,44
75.75.75.0,5
65.22.77.0,3
107.154.101.0,4
199.19.53.0,3
104.24.79.0,40
104.17.197.0,43
104.20.90.0,43
141.101.122.0,40
104.16.78.0,42
208.76.46.0,8
104.20.143.0,46
104.29.19.0,38
104.27.146.0,40
104.16.162.0,45
173.194.233.0,10
107.154.157.0,6
172.64.2.0,16
104.27.219.0,43
104.19.110.0,45
104.28.214.0,39
104.24.190.0,44
35.190.65.0,27
104.18.53.0,38
185.13.88.0,4
104.16.192.0,46
104.28.254.0,42
104.17.248.0,46
151.101.129.0,19
204.16.254.0,6
207.200.200.0,5
37.209.192.0,9
104.16.228.0,45
104.24.1.0,43
159.180.84.0,9
104.16.113.0,43
104.31.74.0,40
192.157.34.0,3
204.74.108.0,14
104.25.61.0,40
195.253.64.0,5
192.229.242.0,8
192.230.68.0,3
74.211.63.0,7
104.16.184.0,44
104.27.122.0,40
104.17.173.0,43
104.25.74.0,44
185.11.124.0,14
104.16.82.0,42
104.24.139.0,43
104.25.135.0,42
65.22.225.0,3
65.22.157.0,4
35.190.53.0,24
104.27.181.0,40
91.242.173.0,3
104.16.40.0,40
104.23.241.0,36
104.16.100.0,46
104.31.237.0,40
104.16.223.0,45
200.16.17.0,2
104.25.161.0,40
104.25.159.0,42
104.25.163.0,40
104.31.193.0,39
104.27.47.0,40
104.24.205.0,40
104.27.85.0,43
104.17.133.0,44
172.64.200.0,39
104.17.101.0,43
107.154.146.0,6
72.42.115.0,24
104.16.98.0,43
104.27.97.0,44
35.186.212.0,27
107.154.142.0,5
192.230.94.0,2
203.119.86.0,3
40.134.198.0,6
104.20.34.0,42
172.64.202.0,43
104.28.67.0,44
104.29.36.0,38
35.186.203.0,28
104.17.210.0,44
104.26.15.0,40
199.4.137.0,37
104.17.74.0,44
104.16.151.0,43
104.25.121.0,40
104.25.5.0,39
203.130.52.0,12
104.25.60.0,40
104.17.37.0,40
104.27.156.0,40
199.254.58.0,6
35.190.17.0,27
104.24.253.0,44
104.17.30.0,44
107.154.201.0,5
103.247.36.0,8
104.27.0.0,43
104.19.9.0,44
23.248.208.0,2
156.154.167.0,7
104.28.232.0,42
172.64.77.0,33
104.27.166.0,37
104.17.31.0,43
167.89.4.0,3
172.64.139.0,43
104.20.244.0,45
104.17.65.0,43
95.101.76.0,4
156.154.191.0,13
104.19.6.0,44
104.25.151.0,40
185.160.71.0,2
104.28.12.0,40
104.31.233.0,38
192.254.118.0,3
172.64.199.0,39
168.96.192.0,2
178.237.168.0,3
104.156.85.0,20
185.109.242.0,10
104.25.226.0,43
104.25.29.0,39
104.19.129.0,38
104.20.20.0,46
104.18.47.0,37
104.25.58.0,42
35.190.46.0,28
151.139.222.0,10
104.37.180.0,7
72.0.51.0,24
104.27.71.0,44
104.20.109.0,40
104.25.70.0,43
104.16.141.0,44
172.64.49.0,37
104.22.8.0,43
162.88.58.0,7
104.28.180.0,40
104.24.115.0,40
107.154.164.0,4
104.27.12.0,43
104.24.175.0,43
35.190.2.0,27
104.25.115.0,42
172.64.59.0,38
35.190.32.0,26
204.74.114.0,9
104.18.58.0,38
104.31.242.0,40
104.28.51.0,44
181.41.222.0,5
200.136.53.0,2
65.22.62.0,4
107.154.3.0,3
65.22.163.0,20
107.154.163.0,4
173.194.110.0,10
173.194.107.0,9
104.19.57.0,43
104.31.92.0,39
104.25.154.0,43
104.27.100.0,45
172.64.172.0,42
173.194.238.0,10
199.204.24.0,7
45.54.52.0,12
104.17.155.0,44
185.103.200.0,4
104.31.232.0,39
104.31.202.0,42
104.24.187.0,44
104.28.86.0,44
194.0.23.0,6
65.22.106.0,5
104.20.203.0,46
104.28.46.0,42
199.254.54.0,6
198.21.1.0,2
104.17.10.0,45
213.248.223.0,3
104.29.3.0,40
104.160.26.0,3
104.19.58.0,42
104.16.65.0,40
104.20.149.0,45
209.112.113.0,9
104.16.239.0,44
104.27.31.0,43
104.18.40.0,38
104.24.143.0,42
104.17.142.0,44
35.190.19.0,29
104.27.222.0,43
204.117.214.0,6
104.17.124.0,42
150.171.0.0,3
192.229.133.0,6
74.125.67.0,27
66.242.2.0,3
104.23.200.0,45
104.23.193.0,46
104.27.110.0,44
104.25.225.0,40
162.159.228.0,43
67.228.255.0,13
104.16.57.0,43
64.208.140.0,6
168.96.1.0,2
50.31.129.0,6
192.42.177.0,5
172.111.96.0,20
104.17.85.0,45
104.17.76.0,46
104.18.46.0,37
168.245.10.0,3
104.25.68.0,42
104.25.252.0,43
192.229.233.0,7
162.159.27.0,47
104.20.255.0,42
35.186.197.0,29
163.10.41.0,2
64.28.113.0,4
104.16.2.0,43
35.190.112.0,29
104.20.23.0,45
104.27.46.0,40
104.31.254.0,40
104.19.52.0,44
104.31.0.0,43
104.19.7.0,44
104.19.205.0,44
104.25.173.0,40
104.17.26.0,45
104.25.85.0,40
216.126.57.0,3
192.33.4.0,8
104.17.224.0,42
8.20.241.0,4
104.19.54.0,43
104.28.4.0,40
95.101.36.0,7
104.29.5.0,39
192.229.243.0,9
64.185.191.0,6
65.22.70.0,5
104.24.81.0,42
107.154.73.0,2
192.28.92.0,10
13.107.21.0,26
156.154.66.0,13
104.24.254.0,44
72.0.54.0,24
104.29.7.0,38
104.20.85.0,45
104.29.73.0,37
106.2.159.0,5
104.28.252.0,40
104.23.114.0,46
162.88.8.0,2
199.253.61.0,3
104.16.152.0,46
41.216.201.0,4
35.190.106.0,28
104.28.215.0,40
104.17.232.0,43
64.120.1.0,4
35.186.217.0,28
172.64.28.0,15
208.69.38.0,7
104.20.161.0,45
104.16.27.0,43
172.64.26.0,14
104.20.211.0,45
70.40.8.0,8
185.104.208.0,10
104.31.159.0,40
172.64.79.0,34
195.142.105.0,6
152.195.59.0,8
104.27.175.0,40
192.229.254.0,19
104.19.21.0,44
104.20.246.0,43
104.28.89.0,43
104.27.99.0,42
93.170.93.0,5
104.26.0.0,38
104.24.36.0,45
104.17.73.0,43
65.22.32.0,4
104.16.111.0,44
165.117.171.0,3
152.195.61.0,7
199.254.61.0,4
104.28.41.0,43
104.31.85.0,40
104.31.183.0,38
104.27.139.0,38
104.24.86.0,42
45.64.67.0,2
119.28.28.0,3
167.89.93.0,3
65.22.126.0,5
104.25.84.0,42
104.17.26.0,43
205.251.193.0,8
65.22.141.0,3
164.73.79.0,2
176.124.113.0,14
45.64.66.0,2
79.143.48.0,8
104.16.253.0,45
199.167.21.0,3
167.89.73.0,3
104.24.189.0,43
104.24.24.0,40
174.128.169.0,4
168.245.47.0,3
98.158.111.0,10
104.19.194.0,44
104.29.42.0,38
144.254.254.0,7
103.49.83.0,3
192.230.117.0,3
64.185.169.0,7
152.195.15.0,6
151.101.160.0,2
104.19.75.0,44
192.124.129.0,3
66.225.197.0,8
104.17.5.0,44
104.25.112.0,42
104.17.96.0,43
162.159.25.0,45
130.211.31.0,29
104.20.122.0,45
104.24.230.0,43
104.28.83.0,43
172.64.62.0,37
173.246.98.0,2
65.22.122.0,5
104.23.132.0,42
172.64.10.0,16
104.20.230.0,46
104.25.1.0,39
107.154.131.0,5
104.27.172.0,40
104.27.101.0,43
104.25.232.0,40
13.107.160.0,9
104.25.106.0,40
108.59.162.0,7
104.31.230.0,40
104.20.104.0,43
199.116.79.0,3
104.18.6.0,43
104.28.128.0,42
104.27.114.0,40
104.20.84.0,44
104.28.224.0,43
104.31.132.0,39
104.25.206.0,42
45.54.50.0,5
35.190.71.0,26
156.154.172.0,10
165.156.20.0,8
104.20.100.0,42
104.23.131.0,43
104.17.231.0,45
172.64.131.0,40
65.22.69.0,4
104.26.12.0,39
200.144.244.0,2
193.29.206.0,4
104.24.101.0,40
23.111.8.0,7
104.25.95.0,43
104.24.73.0,42
167.89.108.0,3
104.19.96.0,43
198.32.8.0,3
104.16.189.0,44
104.19.114.0,45
104.23.207.0,43
72.0.61.0,23
64.86.234.0,3
104.24.108.0,40
104.23.129.0,43
200.7.4.0,4
104.29.14.0,38
192.230.104.0,3
104.27.152.0,40
131.153.36.0,4
65.22.232.0,4
35.186.241.0,29
192.58.128.0,36
194.117.58.0,38
104.24.40.0,44
104.17.203.0,42
208.76.57.0,12
64.210.141.0,3
104.19.47.0,44
35.190.7.0,24
104.17.176.0,44
104.25.165.0,40
104.25.160.0,42
104.17.124.0,43
35.190.70.0,26
151.101.232.0,12
104.26.8.0,40
104.20.76.0,43
104.24.192.0,40
104.25.93.0,42
192.229.220.0,8
151.101.206.0,13
104.27.199.0,40
107.154.72.0,3
104.17.39.0,43
104.20.215.0,46
104.28.82.0,42
65.22.5.0,14
67.221.250.0,3
104.16.37.0,42
208.72.191.0,4
35.190.123.0,26
104.31.138.0,40
69.168.230.0,7
104.25.145.0,40
104.17.186.0,44
173.194.80.0,10
65.22.59.0,22
134.55.1.0,5
104.28.84.0,42
151.101.248.0,12
104.31.246.0,40
72.0.55.0,24
104.18.49.0,38
76.9.7.0,6
172.64.31.0,14
104.18.15.0,43
204.79.197.0,30
72.42.121.0,24
104.31.239.0,40
104.26.1.0,40
192.31.196.0,5
104.16.119.0,43
8.20.247.0,6
23.40.100.0,5
104.17.90.0,44
199.19.3.0,12
104.17.219.0,43
104.29.13.0,39
104.20.73.0,43
185.83.100.0,7
185.83.102.0,7
104.24.104.0,42
35.186.214.0,25
192.54.112.0,6
104.19.91.0,44
194.0.2.0,20
104.25.211.0,39
208.185.195.0,4
104.27.38.0,39
151.101.130.0,18
104.19.16.0,42
35.190.51.0,27
185.28.194.0,10
172.64.167.0,42
165.156.17.0,12
107.178.251.0,28
104.18.3.0,40
104.16.220.0,44
212.18.248.0,9
151.139.240.0,16
185.103.203.0,5
104.25.191.0,40
104.19.22.0,45
104.24.114.0,40
65.22.230.0,5
104.20.167.0,46
104.25.195.0,42
192.225.208.0,6
156.154.178.0,7
104.19.4.0,44
104.17.83.0,44
104.24.33.0,43
104.24.51.0,43
80.91.56.0,4
104.25.90.0,40
104.30.4.0,39
104.31.214.0,40
64.41.114.0,3
65.22.98.0,5
68.94.156.0,3
91.151.23.0,6
104.16.106.0,44
167.89.53.0,3
216.69.185.0,10
104.24.95.0,43
207.223.166.0,10
104.17.167.0,42
104.28.154.0,42
156.154.206.0,6
104.28.193.0,42
104.31.141.0,40
162.159.230.0,43
203.194.94.0,4
208.67.236.0,3
190.93.245.0,49
157.52.64.0,19
35.190.82.0,25
104.16.91.0,44
199.249.116.0,16
104.20.252.0,45
65.22.87.0,22
191.96.129.0,5
104.24.100.0,40
172.64.197.0,40
104.16.181.0,44
172.64.21.0,16
104.19.83.0,43
104.27.194.0,40
64.253.158.0,4
172.64.130.0,42
172.64.45.0,13
185.104.209.0,10
104.17.252.0,43
104.20.132.0,43
104.28.77.0,44
65.22.1.0,3
104.24.42.0,43
192.230.88.0,7
104.24.68.0,44
104.24.251.0,43
104.27.134.0,40
35.190.3.0,24
172.64.53.0,37
104.25.98.0,47
104.29.33.0,37
104.26.7.0,39
66.255.85.0,3
104.19.40.0,43
151.101.178.0,13
104.17.206.0,44
35.190.76.0,28
104.25.30.0,43
68.180.131.0,10
104.26.14.0,38
104.24.28.0,40
172.64.134.0,44
199.182.16.0,3
104.31.195.0,40
66.253.214.0,3
104.27.66.0,40
204.74.109.0,13
103.61.63.0,3
69.168.231.0,7
104.25.96.0,45
72.21.91.0,9
104.27.7.0,45
207.34.6.0,26
192.5.5.0,40
104.16.43.0,42
69.168.228.0,10
104.237.191.0,4
104.18.45.0,38
200.238.210.0,2
104.24.119.0,42
104.17.147.0,43
104.20.237.0,46
104.17.34.0,40
65.22.148.0,4
156.154.140.0,15
104.28.190.0,40
162.159.23.0,47
104.25.54.0,43
104.16.94.0,42
104.31.190.0,39
216.21.12.0,5
104.24.144.0,42
104.25.26.0,40
194.0.4.0,4
104.17.43.0,43
194.0.27.0,37
130.211.17.0,27
104.24.140.0,40
104.104.58.0,16
104.16.32.0,42
104.17.229.0,44
104.27.17.0,42
104.17.24.0,44
173.194.236.0,10
45.54.38.0,5
208.111.184.0,20
199.254.28.0,3
104.27.158.0,42
209.200.133.0,7
93.93.51.0,3
104.16.116.0,43
107.154.136.0,3
35.190.67.0,24
107.162.141.0,7
104.20.64.0,42
104.30.14.0,37
35.186.233.0,27
168.245.26.0,3
35.190.43.0,25
172.64.174.0,42
104.27.74.0,42
35.186.250.0,30
151.101.204.0,13
104.28.43.0,42
178.255.84.0,5
104.31.82.0,40
104.17.237.0,40
162.88.56.0,9
104.16.95.0,44
104.19.94.0,43
104.18.54.0,36
104.16.38.0,40
35.190.83.0,25
93.170.90.0,5
104.25.237.0,40
104.28.126.0,42
193.0.14.0,20
163.10.8.0,2
216.146.46.0,4
91.198.24.0,2
104.17.186.0,42
104.20.9.0,44
104.17.183.0,40
104.31.139.0,40
173.194.234.0,10
107.154.145.0,4
104.17.240.0,43
72.0.58.0,24
185.80.190.0,3
65.22.188.0,4
104.20.66.0,43
104.16.196.0,44
153.92.2.0,3
35.190.57.0,28
107.154.141.0,5
168.245.57.0,3
104.27.161.0,42
104.28.6.0,42
104.17.209.0,43
199.115.153.0,4
35.190.122.0,25
107.154.165.0,4
125.208.33.0,3
198.41.215.0,48
107.154.139.0,8
162.159.216.0,38
104.31.224.0,40
104.22.5.0,43
206.51.255.0,30
104.28.249.0,43
104.17.48.0,42
104.20.46.0,43
35.190.53.0,30
104.19.20.0,45
104.31.197.0,40
189.201.244.0,36
150.164.13.0,2
104.24.198.0,40
93.184.221.0,7
35.190.86.0,28
104.23.204.0,43
104.16.200.0,44
150.164.11.0,2
104.24.186.0,42
104.27.204.0,42
162.88.60.0,13
65.22.204.0,4
104.28.145.0,44
45.54.54.0,7
104.24.85.0,40
104.17.95.0,43
104.29.76.0,39
35.186.235.0,29
35.190.50.0,27
104.17.230.0,45
192.82.135.0,5
65.22.2.0,3
172.85.95.0,6
104.255.198.0,2
104.28.34.0,42
185.40.155.0,7
104.27.49.0,40
35.186.228.0,27
104.27.89.0,45
104.17.42.0,40
104.16.158.0,45
72.21.92.0,9
167.89.27.0,3
104.27.69.0,42
104.17.196.0,43
167.89.71.0,3
198.181.117.0,17
35.190.115.0,26
104.19.67.0,43
104.24.94.0,44
104.16.163.0,44
104.17.46.0,40
104.16.15.0,44
104.31.210.0,40
104.24.19.0,43
104.26.10.0,38
13.107.9.0,13
104.20.198.0,40
151.101.159.0,13
35.186.245.0,29
185.21.169.0,7
65.111.80.0,4
107.154.77.0,6
104.22.2.0,40
104.24.65.0,42
104.25.52.0,44
104.17.38.0,42
104.27.240.0,42
167.89.15.0,3
130.211.29.0,28
104.27.24.0,43
162.159.227.0,43
205.185.208.0,10
104.29.47.0,37
104.24.158.0,40
104.16.52.0,42
35.186.247.0,26
65.22.218.0,4
104.16.0.0,45
107.154.143.0,4
198.135.249.0,5
35.186.244.0,29
172.64.3.0,16
35.186.230.0,29
104.19.81.0,43
104.28.197.0,42
168.96.0.0,2
151.101.249.0,13
104.19.207.0,43
172.64.136.0,42
104.20.144.0,45
104.28.184.0,40
104.16.186.0,44
74.116.176.0,8
104.19.33.0,44
171.4.128.0,4
65.22.207.0,23
104.16.117.0,44
35.190.66.0,25
172.64.54.0,37
69.16.174.0,17
104.17.78.0,44
104.28.192.0,42
104.20.50.0,43
104.16.26.0,42
104.20.59.0,44
167.89.82.0,3
35.190.2.0,26
104.19.37.0,45
17.8.8.0,10
104.28.45.0,43
192.254.125.0,3
91.198.66.0,3
104.17.190.0,43
151.101.103.0,9
185.119.138.0,4
35.190.105.0,26
65.22.220.0,4
200.124.183.0,2
64.96.245.0,5
130.211.8.0,29
180.183.0.0,2
104.25.197.0,40
104.17.188.0,43
104.27.50.0,40
130.211.12.0,27
104.17.117.0,44
104.16.134.0,44
104.17.99.0,45
107.178.240.0,27
104.24.102.0,40
65.22.217.0,4
104.19.48.0,44
104.19.115.0,44
35.190.20.0,28
104.16.143.0,44
66.235.118.0,4
104.28.162.0,43
104.20.19.0,44
104.18.57.0,38
103.73.125.0,6
104.27.44.0,42
216.108.239.0,5
104.20.197.0,43
195.206.121.0,3
156.154.104.0,10
104.16.85.0,43
104.27.51.0,42
104.244.43.0,16
104.30.15.0,39
104.20.169.0,48
27.124.125.0,3
182.254.118.0,5
66.109.229.0,3
104.17.136.0,45
104.29.68.0,37
104.22.6.0,43
104.24.130.0,43
65.22.79.0,22
200.144.184.0,2
104.25.148.0,40
5.45.205.0,9
150.164.230.0,2
104.29.45.0,37
104.19.78.0,43
104.23.101.0,46
104.19.86.0,43
192.26.92.0,8
74.82.42.0,16
104.28.100.0,39
104.17.202.0,42
192.229.232.0,9
173.194.109.0,10
104.24.28.0,39
104.17.122.0,44
108.229.1.0,5
104.29.38.0,38
104.17.33.0,42
209.197.2.0,18
104.17.204.0,43
65.22.60.0,4
104.153.199.0,5
104.27.55.0,40
151.101.222.0,13
194.0.40.0,6
64.96.244.0,6
65.22.121.0,4
104.31.176.0,39
199.66.206.0,5
172.64.110.0,42
104.18.4.0,44
104.30.6.0,37
104.28.149.0,43
172.64.160.0,42
89.167.255.0,4
35.190.12.0,28
104.20.105.0,43
104.27.14.0,42
104.19.14.0,43
104.31.240.0,40
104.29.0.0,38
65.22.34.0,5
104.29.31.0,38
172.64.7.0,16
104.17.49.0,44
192.229.252.0,9
104.25.141.0,40
35.186.199.0,29
151.101.0.0,19
173.194.232.0,10
104.23.203.0,44
104.16.176.0,46
146.112.255.0,2
35.190.88.0,27
194.58.198.0,13
23.77.195.0,9
35.186.228.0,26
104.16.72.0,44
151.101.189.0,12
104.17.173.0,42
104.19.196.0,43
104.25.142.0,43
150.164.74.0,2
35.186.234.0,28
65.22.113.0,4
172.64.168.0,40
104.20.27.0,46
104.31.87.0,42
104.16.8.0,44
199.253.182.0,4
107.154.160.0,5
185.92.74.0,6
35.186.240.0,26
104.17.119.0,42
35.186.224.0,26
159.182.14.0,4
23.91.22.0,2
104.17.55.0,44
199.19.5.0,8
104.27.53.0,43
104.24.124.0,42
192.161.0.0,5
168.245.25.0,3
35.190.20.0,25
207.223.167.0,10
64.185.176.0,7
104.31.66.0,42
104.31.90.0,40
65.22.193.0,4
192.30.29.0,5
104.30.2.0,37
104.19.72.0,43
13.107.55.0,14
104.20.75.0,44
104.17.189.0,42
104.16.217.0,45
104.16.223.0,43
192.0.76.0,16
45.54.42.0,2
199.254.62.0,6
104.17.82.0,45
104.16.159.0,44
104.17.94.0,42
152.195.54.0,9
205.251.192.0,8
104.20.108.0,45
157.92.82.0,2
104.25.134.0,43
64.94.158.0,3
69.9.191.0,3
104.29.4.0,37
172.64.40.0,12
104.28.205.0,40
191.101.245.0,6
208.67.220.0,15
104.20.29.0,45
104.17.218.0,44
35.186.212.0,26
46.255.120.0,6
104.19.197.0,40
104.17.159.0,43
209.112.114.0,5
104.25.8.0,44
172.64.141.0,42
104.19.19.0,43
104.16.88.0,40
165.156.16.0,10
162.219.54.0,5
72.8.186.0,3
172.64.51.0,38
35.190.110.0,27
65.22.190.0,5
35.190.36.0,27
104.28.71.0,44
192.254.116.0,3
104.17.12.0,44
35.190.79.0,26
104.31.18.0,45
35.190.112.0,26
65.39.152.0,4
192.43.172.0,7
104.16.125.0,43
216.87.152.0,5
104.16.33.0,40
69.20.95.0,3
107.154.152.0,3
35.186.205.0,28
151.101.208.0,2
104.28.216.0,40
104.31.115.0,36
104.207.80.0,4
107.178.255.0,29
104.31.173.0,40
104.16.240.0,44
193.84.87.0,6
151.101.101.0,10
104.17.89.0,45
179.191.160.0,6
104.16.131.0,45
162.159.10.0,46
172.64.42.0,12
64.6.65.0,8
104.17.62.0,40
152.195.62.0,10
23.235.32.0,19
205.251.194.0,8
107.154.181.0,5
172.64.193.0,39
104.20.233.0,46
104.22.15.0,43
150.164.236.0,2
212.18.249.0,5
104.20.145.0,44
35.190.46.0,29
104.29.30.0,37
35.190.100.0,27
104.17.79.0,44
204.194.10.0,3
162.159.211.0,44
35.190.91.0,25
192.229.189.0,6
104.17.183.0,42
104.20.173.0,47
104.25.179.0,43
37.209.194.0,10
17.253.207.0,16
104.27.80.0,42
104.26.5.0,40
151.101.157.0,14
35.190.13.0,28
104.30.5.0,40
104.25.9.0,42
104.28.53.0,44
104.28.201.0,42
104.17.177.0,44
199.187.165.0,4
151.101.191.0,13
203.119.28.0,5
162.159.218.0,40
104.27.60.0,44
192.229.246.0,7
65.22.67.0,22
104.28.151.0,43
35.190.86.0,26
23.235.37.0,20
104.27.223.0,42
104.23.137.0,45
104.20.35.0,40
35.190.109.0,27
104.17.66.0,44
104.17.116.0,44
104.25.72.0,43
106.2.158.0,4
104.27.138.0,39
104.24.83.0,40
104.24.169.0,40
65.22.127.0,20
104.20.116.0,44
104.16.137.0,46
104.31.11.0,40
104.20.217.0,44
104.29.46.0,37
203.119.27.0,3
163.10.95.0,2
151.101.163.0,2
173.194.239.0,10
151.101.64.0,19
104.17.185.0,43
104.27.210.0,42
104.168.240.0,4
104.25.162.0,40
114.69.222.0,38
65.22.3.0,6
107.154.147.0,6
172.64.75.0,33
72.42.113.0,23
104.17.100.0,42
46.105.207.0,3
65.22.54.0,5
104.25.149.0,40
198.232.125.0,8
35.190.54.0,27
4.69.255.0,15
104.17.221.0,43
104.28.133.0,40
104.31.153.0,40
104.25.22.0,40
92.122.123.0,4
151.101.235.0,13
104.37.182.0,4
140.205.1.0,6
104.17.77.0,44
104.16.101.0,46
151.101.152.0,13
104.31.112.0,40
151.101.213.0,13
72.52.15.0,7
104.27.27.0,43
104.27.155.0,38
104.28.186.0,42
103.28.249.0,5
104.16.218.0,45
104.28.174.0,42
65.22.66.0,5
104.25.63.0,40
104.24.239.0,45
168.245.37.0,3
141.101.120.0,40
65.22.123.0,24
35.190.37.0,28
185.45.5.0,3
104.24.76.0,40
104.28.99.0,43
104.17.197.0,42
162.159.213.0,39
104.20.208.0,44
104.17.180.0,42
107.178.246.0,29
91.235.140.0,6
156.154.100.0,10
35.186.226.0,26
65.22.94.0,4
104.18.8.0,43
35.190.114.0,26
104.17.33.0,40
156.154.158.0,7
172.64.15.0,16
72.0.62.0,23
104.17.102.0,43
104.22.11.0,42
104.24.90.0,43
74.120.14.0,4
72.14.248.0,10
104.31.212.0,40
104.17.212.0,44
207.223.168.0,10
104.23.126.0,44
156.154.72.0,12
65.22.240.0,4
35.186.201.0,28
104.31.217.0,40
104.24.11.0,42
104.20.218.0,47
150.164.54.0,2
209.137.171.0,2
173.194.230.0,10
104.17.120.0,44
130.211.22.0,28
104.19.202.0,43
130.211.33.0,28
172.64.60.0,37
157.7.33.0,4
65.22.192.0,4
13.107.56.0,8
104.25.14.0,40
23.211.132.0,9
104.17.213.0,42
151.101.111.0,14
104.20.126.0,43
104.19.139.0,39
104.23.199.0,46
104.19.13.0,44
104.31.238.0,40
104.20.165.0,47
192.33.14.0,34
104.27.13.0,40
104.17.126.0,42
104.31.192.0,39
107.162.132.0,7
104.30.12.0,36
35.186.218.0,28
172.64.19.0,16
104.27.126.0,40
104.17.30.0,43
185.130.160.0,4
35.190.82.0,27
35.190.19.0,26
65.22.156.0,4
104.27.23.0,43
209.208.30.0,3
199.202.55.0,3
104.27.104.0,46
104.20.4.0,44
152.195.52.0,6
192.229.255.0,18
104.18.50.0,38
23.111.9.0,8
104.25.244.0,40
173.194.237.0,10
104.20.65.0,42
104.25.57.0,42
108.161.187.0,8
104.17.118.0,43
103.20.95.0,4
104.24.178.0,42
104.25.117.0,42
104.31.158.0,40
13.107.19.0,14
104.23.108.0,45
104.16.66.0,40
204.194.232.0,3
104.27.190.0,40
104.27.40.0,42
35.190.48.0,24
204.19.119.0,34
172.64.22.0,15
199.249.126.0,13
199.4.138.0,4
104.25.192.0,40
104.27.4.0,42
179.191.161.0,6
108.174.13.0,8
104.25.166.0,42
104.17.55.0,42
35.190.20.0,26
35.190.51.0,28
104.16.63.0,43
107.154.177.0,5
104.17.72.0,43
104.17.193.0,42
107.162.130.0,7
104.24.64.0,43
216.146.35.0,10
104.17.103.0,43
159.180.65.0,5
104.28.194.0,40
72.42.112.0,22
192.31.80.0,8
130.211.42.0,27
198.251.86.0,3
107.154.162.0,4
104.31.128.0,42
185.159.196.0,6
207.218.223.0,9
40.90.4.0,14
172.64.71.0,33
35.186.232.0,30
151.101.190.0,14
13.107.48.0,7
167.160.66.0,5
13.107.6.0,16
46.105.202.0,4
162.159.22.0,46
35.190.83.0,27
65.22.216.0,4
52.119.40.0,6
168.245.21.0,3
104.28.103.0,40
104.25.189.0,40
104.24.153.0,40
69.164.52.0,5
104.27.8.0,45
202.158.207.0,4
64.185.182.0,9
173.194.254.0,10
65.22.162.0,4
35.190.96.0,26
13.107.51.0,14
104.17.220.0,43
35.190.71.0,27
104.31.200.0,39
104.17.29.0,43
172.64.50.0,36
96.7.49.0,9
104.24.166.0,40
31.131.254.0,4
47.197.172.0,2
173.194.253.0,10
204.48.34.0,15
104.27.205.0,40
104.19.59.0,43
8.44.80.0,5
151.101.227.0,13
103.28.251.0,4
107.154.148.0,5
150.164.46.0,2
46.105.199.0,4
151.139.242.0,16
173.194.250.0,10
151.101.242.0,15
185.140.175.0,3
104.19.45.0,43
104.28.175.0,42
107.154.134.0,4
192.229.145.0,10
104.17.192.0,43
69.1.70.0,5
104.29.28.0,38
170.251.50.0,3
45.54.36.0,6
104.27.62.0,42
35.190.121.0,26
167.89.105.0,3
125.208.36.0,4
103.247.184.0,7
104.16.173.0,44
65.22.182.0,4
104.20.43.0,43
192.230.111.0,3
199.254.48.0,4
151.101.151.0,2
65.22.212.0,4
35.186.210.0,27
107.154.158.0,6
208.67.238.0,10
104.27.10.0,44
35.190.101.0,29
35.186.227.0,29
104.31.249.0,38
104.24.242.0,43
104.20.88.0,43
104.17.160.0,44
35.190.52.0,26
107.178.248.0,26
199.254.56.0,3
2.22.230.0,10
104.19.137.0,40
141.101.113.0,46
151.101.180.0,12
104.16.178.0,44
107.154.254.0,4
104.31.76.0,40
104.28.94.0,43
104.26.3.0,39
35.190.89.0,26
104.17.240.0,44
23.227.174.0,4
104.19.124.0,45
104.18.38.0,37
104.24.72.0,40
104.19.10.0,46
104.24.117.0,40
103.14.247.0,2
167.89.18.0,3
104.29.12.0,39
104.17.107.0,42
8.34.34.0,5
65.22.65.0,4
35.186.221.0,28
65.22.149.0,4
213.248.217.0,3
172.64.27.0,15
190.114.199.0,2
104.17.114.0,43
