tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4
neustar.,6,6,6,6,103,103,0
im.,4,4,4,0,0,0,4
politie.,3,3,3,3,48,48,0
sony.,4,4,4,4,73,73,0
bingo.,4,4,4,4,73,73,0
vet.,4,4,4,4,73,73,0
fishing.,8,8,8,8,96,96,0
genting.,4,4,4,4,31,31,0
at.,8,8,8,4,55,55,4
day.,5,5,5,4,27,27,1
is.,5,5,5,2,61,61,3
mv.,3,3,3,1,37,37,2
stada.,4,4,4,4,50,50,0
md.,5,5,5,1,3,3,4
xn--clchc0ea0b2g2a9gcd.,5,5,5,5,79,79,0
diy.,4,4,4,4,31,31,0
skin.,4,4,4,4,65,65,0
dubai.,4,4,4,4,73,73,0
kiwi.,2,2,2,2,19,19,0
xn--80adxhks.,4,4,4,2,12,12,2
hangout.,5,5,5,4,27,27,1
mw.,7,7,7,4,50,50,3
xn--mgbai9azgqp6j.,3,3,3,0,0,0,3
sm.,4,4,4,2,44,44,2
camera.,4,4,4,4,73,73,0
watches.,4,4,4,4,50,50,0
caravan.,6,6,6,6,74,74,0
homesense.,6,6,6,6,74,74,0
gy.,2,2,2,2,43,43,0
qvc.,6,6,6,6,74,74,0
xn--tckwe.,4,4,4,4,31,31,0
tdk.,6,6,6,6,74,74,0
hermes.,4,4,4,4,47,47,0
barclays.,4,4,4,4,73,73,0
swiftcover.,6,6,6,6,74,74,0
ruhr.,4,4,4,2,24,12,0
latrobe.,4,4,4,4,73,73,0
nz.,7,7,7,3,43,43,4
feedback.,4,4,4,4,65,65,0
creditunion.,4,4,4,4,52,52,0
channel.,5,5,5,4,27,27,1
oracle.,4,4,4,4,31,31,0
dog.,4,4,4,4,73,73,0
hitachi.,4,4,4,4,73,73,0
zero.,6,6,6,6,74,74,0
corsica.,3,3,3,3,68,68,0
xn--45br5cyl.,6,6,6,6,113,113,0
to.,7,7,7,0,0,0,7
fitness.,4,4,4,4,73,73,0
woodside.,4,4,4,4,73,73,0
alfaromeo.,4,4,4,4,52,52,0
kim.,4,4,4,4,51,51,0
rogers.,4,4,4,4,51,51,0
xn--lgbbat1ad8j.,2,2,2,0,0,0,2
wanggou.,8,8,8,8,94,94,0
ericsson.,4,4,4,4,31,31,0
circle.,8,8,8,8,94,94,0
gg.,6,6,6,6,78,78,0
do.,8,8,8,3,45,45,5
juniper.,4,4,4,4,31,31,0
tattoo.,4,4,4,4,27,27,0
pics.,4,4,4,4,27,27,0
ollo.,4,4,4,4,50,50,0
xn--3hcrj9c.,6,6,6,6,113,113,0
cam.,4,4,4,4,65,65,0
xn--c2br7g.,4,4,4,4,31,31,0
teva.,6,6,6,6,74,74,0
sarl.,4,4,4,4,73,73,0
fast.,8,8,8,8,94,94,0
lb.,3,3,3,0,0,0,3
vg.,4,4,4,4,65,65,0
analytics.,6,6,6,6,74,74,0
sakura.,4,4,4,1,10,5,2
xn--gecrj9c.,6,6,6,6,113,113,0
xn--mgbab2bd.,4,4,4,2,24,12,0
gives.,4,4,4,4,73,73,0
gucci.,8,8,8,8,89,89,0
museum.,3,3,3,3,68,68,0
gbiz.,5,5,5,4,27,27,1
xn--h2breg3eve.,6,6,6,6,113,113,0
versicherung.,3,3,3,2,21,21,1
bauhaus.,4,4,4,2,24,12,0
condos.,4,4,4,4,73,73,0
xbox.,4,4,4,4,31,31,0
delivery.,4,4,4,4,73,73,0
nra.,4,4,4,4,55,55,0
homedepot.,4,4,4,4,55,55,0
calvinklein.,6,6,6,6,74,74,0
green.,4,4,4,4,51,51,0
playstation.,4,4,4,4,73,73,0
anz.,4,4,4,4,73,73,0
run.,4,4,4,4,73,73,0
bom.,6,6,6,5,25,25,1
phd.,5,5,5,4,27,27,1
lipsy.,4,4,4,4,31,31,0
pk.,4,4,4,2,19,19,2
sew.,4,4,4,4,52,52,0
marketing.,4,4,4,4,73,73,0
sky.,4,4,4,4,31,31,0
xn--90ae.,6,6,6,2,46,46,4
men.,4,4,4,4,73,73,0
hr.,3,3,3,2,61,61,1
new.,5,5,5,4,27,27,1
om.,6,6,6,4,73,73,2
cfa.,4,4,4,4,31,31,0
vivo.,6,6,6,6,99,99,0
insurance.,6,6,6,6,105,105,0
afamilycompany.,4,4,4,4,31,31,0
solutions.,4,4,4,4,73,73,0
il.,8,8,8,3,66,66,5
estate.,4,4,4,4,73,73,0
quest.,4,4,4,4,65,65,0
lighting.,4,4,4,4,73,73,0
shiksha.,4,4,4,4,51,51,0
co.,6,6,6,6,101,101,0
financial.,4,4,4,4,73,73,0
zone.,4,4,4,4,73,73,0
nu.,6,6,6,4,48,48,2
partners.,4,4,4,4,73,73,0
aquarelle.,3,3,3,3,68,68,0
shouji.,4,4,4,3,10,10,1
loans.,4,4,4,4,73,73,0
discover.,6,6,6,6,74,74,0
pet.,4,4,4,4,50,50,0
ir.,4,4,4,1,3,3,3
phone.,4,4,4,4,50,50,0
xn--3e0b707e.,6,6,6,0,0,0,6
mu.,4,4,4,3,46,46,1
rexroth.,4,4,4,4,31,31,0
berlin.,3,3,3,2,21,21,1
mc.,3,3,3,1,3,3,2
sfr.,4,4,4,4,65,65,0
living.,4,4,4,4,31,31,0
money.,4,4,4,4,73,73,0
deal.,8,8,8,8,94,94,0
republican.,4,4,4,4,73,73,0
dot.,4,4,4,4,51,51,0
voting.,4,4,4,4,73,73,0
cooking.,8,8,8,8,96,96,0
wf.,4,4,4,3,68,68,1
onyourside.,4,4,4,4,31,31,0
.,13,13,13,12,344,344,1
dell.,6,6,6,6,74,74,0
sl.,2,2,2,0,0,0,2
ai.,3,3,3,3,100,100,0
sncf.,3,3,3,3,68,68,0
fido.,4,4,4,4,51,51,0
gn.,3,3,3,1,4,4,2
poker.,4,4,4,4,52,52,0
kinder.,6,6,6,6,74,74,0
kw.,6,6,6,2,51,51,4
mint.,6,6,6,6,74,74,0
church.,4,4,4,4,73,73,0
bing.,4,4,4,4,31,31,0
fr.,4,4,4,3,68,68,1
passagens.,6,6,6,6,74,74,0
xn--mgba3a3ejt.,6,6,6,6,74,74,0
comsec.,4,4,4,4,31,31,0
faith.,6,6,6,6,74,74,0
yamaxun.,8,8,8,8,94,94,0
pub.,4,4,4,4,73,73,0
futbol.,4,4,4,4,73,73,0
ki.,2,2,2,1,37,37,1
bestbuy.,4,4,4,4,51,51,0
xn--p1ai.,5,5,5,0,0,0,5
guge.,5,5,5,4,27,27,1
meet.,5,5,5,4,27,27,1
basketball.,4,4,4,4,65,65,0
dad.,5,5,5,4,27,27,1
camp.,4,4,4,4,73,73,0
banamex.,6,6,6,6,74,74,0
tjmaxx.,6,6,6,6,74,74,0
th.,5,5,5,2,57,57,3
coach.,4,4,4,4,73,73,0
expert.,4,4,4,4,73,73,0
uno.,4,4,4,4,65,65,0
tz.,6,6,6,3,44,44,3
xn--30rr7y.,8,8,8,4,19,15,3
xn--nqv7fs00ema.,4,4,4,4,53,53,0
xn--qcka1pmc.,5,5,5,4,27,27,1
paris.,4,4,4,4,76,76,0
yahoo.,4,4,4,4,31,31,0
yun.,4,4,4,3,10,10,1
cool.,4,4,4,4,73,73,0
gov.,4,4,4,4,29,29,0
chintai.,6,6,6,6,74,74,0
band.,4,4,4,4,73,73,0
lc.,6,6,6,6,87,87,0
recipes.,4,4,4,4,73,73,0
office.,6,6,6,6,74,74,0
ninja.,4,4,4,4,73,73,0
ye.,4,4,4,0,0,0,4
nhk.,4,4,4,4,73,73,0
arpa.,12,12,12,11,302,302,1
xn--j6w193g.,8,8,8,3,68,68,5
country.,4,4,4,4,27,27,0
prudential.,6,6,6,6,74,74,0
xn--czr694b.,8,8,8,4,19,15,3
bn.,4,4,4,3,64,64,1
menu.,4,4,4,4,73,73,0
yoga.,8,8,8,8,96,96,0
promo.,4,4,4,4,54,54,0
moi.,8,8,8,8,94,94,0
stcgroup.,4,4,4,4,65,65,0
pl.,9,9,9,4,56,56,5
showtime.,4,4,4,4,52,52,0
gmx.,4,4,4,2,24,12,0
ferrari.,4,4,4,4,52,52,0
origins.,4,4,4,4,50,50,0
ricoh.,4,4,4,4,73,73,0
club.,6,6,6,6,74,74,0
cu.,6,6,6,1,3,3,5
ril.,4,4,4,4,54,54,0
firestone.,4,4,4,4,73,73,0
wang.,8,8,8,4,19,15,3
americanfamily.,4,4,4,4,31,31,0
biz.,6,6,6,6,102,102,0
total.,3,3,3,3,68,68,0
cn.,8,8,8,3,10,10,5
fo.,4,4,4,4,65,65,0
navy.,4,4,4,4,73,73,0
university.,4,4,4,4,73,73,0
info.,6,6,6,6,86,86,0
healthcare.,4,4,4,4,73,73,0
gripe.,4,4,4,4,73,73,0
clinic.,4,4,4,4,73,73,0
tci.,4,4,4,4,122,122,0
nikon.,4,4,4,4,31,31,0
photography.,4,4,4,4,73,73,0
xn--flw351e.,5,5,5,4,27,27,1
az.,2,2,2,1,3,3,1
mtr.,4,4,4,1,2,2,3
grainger.,6,6,6,6,74,74,0
alstom.,4,4,4,2,24,12,0
systems.,4,4,4,4,73,73,0
bid.,6,6,6,6,74,74,0
iq.,4,4,4,2,40,40,2
mt.,4,4,4,1,37,37,3
xn--mgbpl2fh.,2,2,2,1,37,37,1
aetna.,6,6,6,6,74,74,0
build.,4,4,4,4,65,65,0
consulting.,4,4,4,4,73,73,0
cipriani.,4,4,4,4,52,52,0
de.,6,6,6,3,35,35,3
mango.,4,4,4,2,24,12,0
java.,4,4,4,4,31,31,0
so.,2,2,2,2,41,41,0
philips.,4,4,4,4,73,73,0
pay.,8,8,8,8,94,94,0
lol.,4,4,4,4,27,27,0
akdn.,4,4,4,4,54,54,0
rehab.,4,4,4,4,73,73,0
bloomberg.,4,4,4,4,31,31,0
joburg.,3,3,3,1,24,24,2
pizza.,4,4,4,4,73,73,0
photos.,4,4,4,4,73,73,0
makeup.,4,4,4,4,65,65,0
brother.,4,4,4,4,73,73,0
xn--mk1bu44c.,4,4,4,4,31,31,0
song.,6,6,6,6,74,74,0
pwc.,4,4,4,4,52,52,0
volkswagen.,4,4,4,4,52,52,0
eurovision.,4,4,4,2,24,12,0
express.,4,4,4,4,73,73,0
virgin.,8,8,8,8,89,89,0
xn--l1acc.,3,3,3,0,0,0,3
kh.,4,4,4,1,7,7,3
xn--fiqz9s.,7,7,7,3,9,9,4
aco.,3,3,3,2,21,21,1
crown.,4,4,4,4,31,31,0
reisen.,4,4,4,4,73,73,0
bnpparibas.,4,4,4,4,53,53,0
lpl.,4,4,4,4,65,65,0
tech.,4,4,4,4,65,65,0
reviews.,4,4,4,4,73,73,0
pictures.,4,4,4,4,73,73,0
lr.,3,3,3,1,4,4,2
xn--g2xx48c.,6,6,6,6,99,99,0
gu.,4,4,4,2,5,5,2
jmp.,6,6,6,6,74,74,0
lexus.,4,4,4,4,73,73,0
cloud.,4,4,4,4,73,73,0
ro.,6,6,6,1,5,5,5
prime.,8,8,8,8,94,94,0
auto.,4,4,4,4,65,65,0
theater.,4,4,4,4,73,73,0
ski.,4,4,4,4,54,54,0
mil.,6,6,6,0,0,0,6
xihuan.,4,4,4,3,10,10,1
best.,4,4,4,4,65,65,0
ve.,5,5,5,0,0,0,5
scjohnson.,4,4,4,4,31,31,0
software.,4,4,4,4,73,73,0
group.,4,4,4,4,73,73,0
rodeo.,8,8,8,8,96,96,0
koeln.,3,3,3,1,5,5,2
hair.,4,4,4,4,65,65,0
kpn.,4,4,4,4,65,65,0
weir.,4,4,4,4,31,31,0
infiniti.,4,4,4,4,73,73,0
bo.,4,4,4,1,37,37,3
health.,6,6,6,6,74,74,0
target.,6,6,6,6,74,74,0
taipei.,6,6,6,6,74,74,0
apartments.,4,4,4,4,73,73,0
tatamotors.,4,4,4,4,31,31,0
ht.,5,5,5,1,37,37,4
tvs.,4,4,4,4,50,50,0
tickets.,4,4,4,4,65,65,0
rent.,4,4,4,4,65,65,0
pm.,4,4,4,3,68,68,1
xn--w4r85el8fhu5dnra.,4,4,4,4,31,31,0
jnj.,6,6,6,6,74,74,0
xn--mgbaakc7dvf.,4,4,4,4,65,65,0
enterprises.,4,4,4,4,73,73,0
here.,5,5,5,4,27,27,1
management.,4,4,4,4,73,73,0
hughes.,4,4,4,4,51,51,0
case.,4,4,4,4,53,53,0
beer.,8,8,8,8,96,96,0
rio.,6,6,6,5,25,25,1
skype.,6,6,6,6,74,74,0
review.,6,6,6,6,99,99,0
hyatt.,6,6,6,6,74,74,0
ca.,4,4,4,4,62,62,0
christmas.,4,4,4,4,27,27,0
uz.,8,8,8,1,3,3,7
mobi.,6,6,6,6,81,81,0
select.,4,4,4,4,73,73,0
film.,4,4,4,4,73,73,0
xyz.,4,4,4,4,65,65,0
sport.,4,4,4,2,24,12,0
locker.,4,4,4,4,50,50,0
americanexpress.,6,6,6,6,74,74,0
sn.,5,5,5,2,9,9,3
ao.,3,3,3,2,61,61,1
jaguar.,4,4,4,4,31,31,0
bcg.,4,4,4,4,51,51,0
clothing.,4,4,4,4,73,73,0
ma.,8,8,8,1,6,6,7
nec.,4,4,4,4,73,73,0
tjx.,6,6,6,6,74,74,0
natura.,6,6,6,5,25,25,1
bmw.,4,4,4,4,65,65,0
pioneer.,4,4,4,4,73,73,0
dev.,5,5,5,4,27,27,1
baseball.,6,6,6,6,74,74,0
africa.,3,3,3,1,24,24,2
gh.,3,3,3,0,0,0,3
ifm.,4,4,4,2,24,12,0
ky.,4,4,4,4,27,27,0
xn--mgbgu82a.,6,6,6,6,113,113,0
amazon.,8,8,8,8,94,94,0
commbank.,4,4,4,4,73,73,0
forex.,4,4,4,4,65,65,0
redumbrella.,4,4,4,4,51,51,0
emerck.,4,4,4,4,50,50,0
secure.,8,8,8,8,94,94,0
pin.,8,8,8,8,94,94,0
productions.,4,4,4,4,73,73,0
avianca.,4,4,4,4,52,52,0
taobao.,6,6,6,6,74,74,0
no.,6,6,6,3,64,64,3
fish.,4,4,4,4,73,73,0
tj.,4,4,4,2,5,5,2
pharmacy.,6,6,6,6,74,74,0
mom.,4,4,4,4,27,27,0
itau.,6,6,6,6,74,74,0
weather.,6,6,6,6,74,74,0
lancaster.,3,3,3,3,68,68,0
nba.,6,6,6,6,74,74,0
llp.,4,4,4,4,27,27,0
attorney.,4,4,4,4,73,73,0
eg.,3,3,3,0,0,0,3
ls.,4,4,4,2,41,41,2
ses.,4,4,4,4,31,31,0
physio.,4,4,4,4,73,73,0
ltda.,4,4,4,4,53,53,0
pnc.,4,4,4,4,53,53,0
education.,4,4,4,4,73,73,0
gt.,6,6,6,4,78,78,2
macys.,4,4,4,4,31,31,0
saxo.,4,4,4,4,73,73,0
xn--b4w605ferd.,4,4,4,4,49,49,0
dj.,3,3,3,0,0,0,3
got.,8,8,8,8,94,94,0
xn--cck2b3b.,6,6,6,6,74,74,0
car.,4,4,4,4,65,65,0
toray.,4,4,4,4,73,73,0
sca.,4,4,4,4,31,31,0
maserati.,4,4,4,4,52,52,0
statefarm.,6,6,6,6,74,74,0
careers.,4,4,4,4,73,73,0
gap.,6,6,6,6,74,74,0
fire.,8,8,8,8,94,94,0
viajes.,4,4,4,4,73,73,0
show.,4,4,4,4,73,73,0
protection.,4,4,4,4,65,65,0
xn--fpcrj9c3d.,6,6,6,6,113,113,0
ke.,5,5,5,3,73,73,2
shaw.,4,4,4,4,51,51,0
hu.,7,7,7,2,37,37,5
scb.,4,4,4,1,20,20,3
pn.,5,5,5,3,45,45,2
org.,6,6,6,6,87,87,0
surgery.,4,4,4,4,73,73,0
apple.,4,4,4,4,51,51,0
xn--y9a3aq.,4,4,4,2,57,57,2
za.,3,3,3,2,61,61,1
wed.,8,8,8,8,96,96,0
xn--otu796d.,8,8,8,4,19,15,3
schule.,4,4,4,4,73,73,0
fm.,6,6,6,6,103,103,0
uk.,8,8,8,8,94,94,0
allfinanz.,4,4,4,4,65,65,0
earth.,6,6,6,6,74,74,0
xn--fzc2c9e2c.,8,8,8,2,57,57,6
page.,5,5,5,4,27,27,1
volvo.,4,4,4,4,31,31,0
intuit.,6,6,6,6,74,74,0
xn--mgbc0a9azcg.,7,7,7,1,6,6,6
xn--fzys8d69uvgm.,4,4,4,4,50,50,0
cancerresearch.,4,4,4,4,73,73,0
ink.,4,4,4,4,65,65,0
budapest.,8,8,8,8,96,96,0
bet.,4,4,4,4,54,54,0
uy.,8,8,8,2,21,21,6
law.,8,8,8,8,96,96,0
xn--efvy88h.,8,8,8,4,19,15,3
exposed.,4,4,4,4,73,73,0
xn--9dbq2a.,4,4,4,4,31,31,0
capitalone.,4,4,4,4,31,31,0
mr.,6,6,6,3,47,47,3
xn--42c2d9a.,4,4,4,4,31,31,0
ax.,4,4,4,0,0,0,4
gdn.,3,3,3,2,21,21,1
sa.,7,7,7,2,61,61,5
pr.,8,8,8,8,98,98,0
ren.,8,8,8,4,19,15,3
hamburg.,3,3,3,2,21,21,1
netbank.,4,4,4,4,73,73,0
science.,6,6,6,6,99,99,0
auction.,4,4,4,4,73,73,0
army.,4,4,4,4,73,73,0
ss.,5,5,5,3,73,73,2
ge.,5,5,5,1,3,3,4
baidu.,8,8,8,4,19,15,3
media.,4,4,4,4,73,73,0
xn--i1b6b1a6a2e.,4,4,4,4,53,53,0
wolterskluwer.,4,4,4,4,50,50,0
samsclub.,4,4,4,4,31,31,0
boston.,8,8,8,8,96,96,0
trade.,6,6,6,6,74,74,0
tk.,4,4,4,4,12,12,0
space.,4,4,4,4,65,65,0
nl.,3,3,3,3,48,48,0
onl.,4,4,4,4,52,52,0
nagoya.,4,4,4,4,73,73,0
next.,4,4,4,4,31,31,0
press.,4,4,4,4,65,65,0
coupon.,6,6,6,6,74,74,0
fage.,4,4,4,4,50,50,0
com.,13,13,13,13,129,129,0
hosting.,4,4,4,4,27,27,0
xn--w4rs40l.,4,4,4,4,31,31,0
guardian.,4,4,4,4,31,31,0
furniture.,4,4,4,4,73,73,0
vu.,4,4,4,4,73,73,0
gw.,3,3,3,2,61,61,1
cafe.,4,4,4,4,73,73,0
dk.,7,7,7,3,58,58,4
xn--qxa6a.,5,5,5,3,49,49,2
man.,4,4,4,2,24,12,0
date.,6,6,6,6,74,74,0
moscow.,4,4,4,2,12,12,2
pohl.,4,4,4,4,65,65,0
able.,6,6,6,6,74,74,0
gi.,6,6,6,6,87,87,0
industries.,4,4,4,4,73,73,0
datsun.,4,4,4,4,73,73,0
gratis.,4,4,4,4,73,73,0
dds.,8,8,8,8,96,96,0
wien.,3,3,3,1,5,5,2
site.,4,4,4,4,65,65,0
lds.,4,4,4,4,49,49,0
xn--mgbbh1a71e.,6,6,6,6,113,113,0
fail.,4,4,4,4,73,73,0
ikano.,3,3,3,2,21,21,1
xn--s9brj9c.,6,6,6,6,113,113,0
singles.,4,4,4,4,73,73,0
bm.,6,6,6,6,87,87,0
observer.,4,4,4,4,65,65,0
xn--io0a7i.,5,5,5,3,12,12,2
samsung.,4,4,4,4,65,65,0
shop.,4,4,4,4,73,73,0
barclaycard.,4,4,4,4,73,73,0
games.,4,4,4,4,73,73,0
madrid.,4,4,4,2,24,12,0
pru.,6,6,6,6,74,74,0
prof.,5,5,5,4,27,27,1
dating.,4,4,4,4,73,73,0
zara.,4,4,4,4,47,47,0
xn--mgb9awbf.,6,6,6,4,73,73,2
richardli.,4,4,4,4,52,52,0
xn--d1alf.,4,4,4,1,3,3,3
marriott.,4,4,4,4,52,52,0
sandvikcoromant.,4,4,4,4,73,73,0
legal.,4,4,4,4,73,73,0
life.,4,4,4,4,73,73,0
care.,4,4,4,4,73,73,0
art.,4,4,4,4,65,65,0
xn--3ds443g.,4,4,4,3,10,10,1
sbs.,4,4,4,4,65,65,0
cars.,4,4,4,4,65,65,0
drive.,5,5,5,4,27,27,1
tips.,4,4,4,4,73,73,0
schmidt.,4,4,4,4,73,73,0
wtf.,4,4,4,4,73,73,0
adac.,4,4,4,4,65,65,0
download.,6,6,6,6,74,74,0
wales.,8,8,8,8,89,89,0
uol.,6,6,6,5,25,25,1
yt.,4,4,4,3,68,68,1
glade.,4,4,4,4,31,31,0
mortgage.,4,4,4,4,73,73,0
cc.,4,4,4,4,31,31,0
limited.,4,4,4,4,73,73,0
goodyear.,4,4,4,4,53,53,0
farmers.,6,6,6,6,74,74,0
pink.,5,5,5,4,66,51,0
audible.,8,8,8,8,94,94,0
mq.,2,2,2,0,0,0,2
xn--45brj9c.,6,6,6,6,113,113,0
events.,4,4,4,4,73,73,0
xn--5tzm5g.,4,4,4,4,50,50,0
pars.,4,4,4,4,122,122,0
caseih.,4,4,4,4,53,53,0
cityeats.,4,4,4,4,31,31,0
ovh.,3,3,3,3,68,68,0
buy.,8,8,8,8,94,94,0
cisco.,6,6,6,6,74,74,0
xn--imr513n.,8,8,8,4,19,15,3
xn--ngbe9e0a.,4,4,4,4,65,65,0
whoswho.,4,4,4,2,24,12,0
ott.,4,4,4,4,51,51,0
graphics.,4,4,4,4,73,73,0
xn--eckvdtc9d.,6,6,6,6,99,99,0
pa.,6,6,6,0,0,0,6
ps.,6,6,6,2,40,40,4
am.,4,4,4,2,57,57,2
mo.,7,7,7,1,20,20,6
hdfcbank.,4,4,4,4,54,54,0
xn--3pxu8k.,4,4,4,4,31,31,0
style.,4,4,4,4,73,73,0
azure.,4,4,4,4,31,31,0
sling.,4,4,4,4,51,51,0
monash.,4,4,4,4,73,73,0
football.,4,4,4,4,73,73,0
dnp.,4,4,4,4,73,73,0
kddi.,4,4,4,4,73,73,0
directory.,4,4,4,4,73,73,0
guide.,4,4,4,4,73,73,0
tax.,4,4,4,4,73,73,0
photo.,4,4,4,4,27,27,0
xn--vhquv.,4,4,4,4,73,73,0
ngo.,6,6,6,6,87,87,0
xn--wgbl6a.,9,9,9,3,74,74,6
gd.,4,4,4,4,65,65,0
boats.,4,4,4,4,53,53,0
lefrak.,4,4,4,4,31,31,0
career.,4,4,4,4,31,31,0
sener.,4,4,4,4,31,31,0
shangrila.,4,4,4,4,31,31,0
irish.,4,4,4,4,73,73,0
td.,4,4,4,2,41,41,2
etisalat.,4,4,4,4,65,65,0
credit.,4,4,4,4,73,73,0
fidelity.,4,4,4,4,31,31,0
xn--ngbc5azd.,4,4,4,4,73,73,0
gifts.,4,4,4,4,73,73,0
llc.,4,4,4,4,54,54,0
tunes.,8,8,8,8,94,94,0
wiki.,4,4,4,4,65,65,0
cba.,4,4,4,4,73,73,0
sr.,2,2,2,0,0,0,2
ac.,4,4,4,4,54,54,0
dz.,6,6,6,3,44,44,3
xn--e1a4c.,5,5,5,3,49,49,2
sydney.,4,4,4,4,73,73,0
cab.,4,4,4,4,73,73,0
tv.,4,4,4,4,31,31,0
xn--mgbaam7a8h.,3,3,3,1,38,38,2
ismaili.,4,4,4,4,54,54,0
google.,5,5,5,4,27,27,1
fi.,9,9,9,5,103,103,4
coupons.,4,4,4,4,73,73,0
community.,4,4,4,4,73,73,0
free.,8,8,8,8,94,94,0
esq.,5,5,5,4,27,27,1
xn--jvr189m.,6,6,6,6,99,99,0
rentals.,4,4,4,4,73,73,0
xn--cg4bki.,4,4,4,4,65,65,0
training.,4,4,4,4,73,73,0
