tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4
aramco.,6,6,6,6,74,74,0
xn--55qw42g.,5,5,5,0,0,0,5
xn--mgbt3dhd.,4,4,4,4,122,122,0
nissay.,4,4,4,4,31,31,0
party.,6,6,6,6,99,99,0
cm.,5,5,5,1,2,2,4
casino.,4,4,4,4,73,73,0
ooo.,4,4,4,4,65,65,0
xn--fiq64b.,8,8,8,4,19,15,3
casa.,8,8,8,8,96,96,0
pid.,4,4,4,4,65,65,0
kosher.,4,4,4,4,52,52,0
xn--rvc1e0am3e.,6,6,6,6,113,113,0
sucks.,4,4,4,4,73,73,0
asia.,6,6,6,6,78,78,0
save.,8,8,8,8,94,94,0
today.,4,4,4,4,73,73,0
bms.,4,4,4,4,31,31,0
trv.,4,4,4,4,51,51,0
porn.,4,4,4,4,87,87,0
lundbeck.,4,4,4,4,31,31,0
durban.,3,3,3,1,24,24,2
au.,9,9,9,8,232,232,1
imamat.,4,4,4,4,54,54,0
accountants.,4,4,4,4,73,73,0
lamer.,4,4,4,4,50,50,0
seven.,4,4,4,4,73,73,0
vote.,4,4,4,4,55,55,0
ong.,6,6,6,6,87,87,0
aig.,6,6,6,6,74,74,0
bbva.,4,4,4,4,31,31,0
me.,5,5,5,5,66,66,0
gallup.,4,4,4,4,55,55,0
gl.,4,4,4,3,100,100,1
gold.,4,4,4,4,73,73,0
bugatti.,4,4,4,4,52,52,0
aarp.,4,4,4,4,31,31,0
report.,4,4,4,4,73,73,0
sj.,3,3,3,0,0,0,3
rest.,4,4,4,4,65,65,0
vig.,4,4,4,4,52,52,0
landrover.,4,4,4,4,31,31,0
asda.,4,4,4,4,31,31,0
courses.,4,4,4,4,73,73,0
rugby.,4,4,4,4,65,65,0
yandex.,4,4,4,4,27,27,0
glass.,4,4,4,4,73,73,0
extraspace.,4,4,4,4,53,53,0
wedding.,8,8,8,8,96,96,0
ne.,4,4,4,2,7,7,2
seek.,4,4,4,4,73,73,0
microsoft.,4,4,4,4,31,31,0
mls.,2,2,2,2,19,19,0
company.,4,4,4,4,73,73,0
equipment.,4,4,4,4,73,73,0
jm.,5,5,5,2,5,5,3
yodobashi.,4,4,4,4,73,73,0
clinique.,4,4,4,4,50,50,0
ni.,6,6,6,1,2,2,5
kg.,2,2,2,1,3,3,1
cymru.,8,8,8,8,89,89,0
iveco.,4,4,4,4,53,53,0
movie.,4,4,4,4,73,73,0
allstate.,4,4,4,4,52,52,0
er.,3,3,3,1,3,3,2
tn.,6,6,6,2,41,41,4
kpmg.,6,6,6,6,74,74,0
forum.,4,4,4,4,65,65,0
academy.,4,4,4,4,73,73,0
br.,6,6,6,5,25,25,1
xn--90ais.,5,5,5,0,0,0,5
off.,4,4,4,4,31,31,0
abbott.,4,4,4,4,50,50,0
bbc.,8,8,8,8,89,89,0
supply.,4,4,4,4,73,73,0
raid.,4,4,4,4,31,31,0
cal.,5,5,5,4,27,27,1
tel.,8,8,8,7,123,123,1
al.,4,4,4,1,5,5,3
la.,4,4,4,2,66,33,0
goldpoint.,4,4,4,4,73,73,0
xn--9et52u.,8,8,8,4,19,15,3
lgbt.,4,4,4,4,51,51,0
vc.,6,6,6,6,87,87,0
leclerc.,3,3,3,3,68,68,0
ibm.,4,4,4,4,73,73,0
voyage.,4,4,4,4,73,73,0
buzz.,6,6,6,6,74,74,0
win.,6,6,6,6,74,74,0
xn--ygbi2ammx.,4,4,4,0,0,0,4
airforce.,4,4,4,4,73,73,0
northwesternmutual.,6,6,6,6,74,74,0
food.,4,4,4,4,31,31,0
cz.,4,4,4,4,17,17,0
ua.,4,4,4,3,60,60,1
aaa.,6,6,6,6,74,74,0
plumbing.,4,4,4,4,73,73,0
juegos.,4,4,4,4,27,27,0
school.,4,4,4,4,73,73,0
xn--80asehdb.,4,4,4,2,24,12,0
creditcard.,4,4,4,4,73,73,0
mtn.,8,8,8,8,89,89,0
mx.,6,6,6,5,78,78,1
mitsubishi.,4,4,4,4,73,73,0
zw.,7,7,7,1,37,37,6
loft.,6,6,6,6,74,74,0
srl.,4,4,4,4,52,52,0
winners.,6,6,6,6,74,74,0
college.,4,4,4,4,65,65,0
net.,13,13,13,13,129,129,0
xn--80ao21a.,2,2,2,1,3,3,1
xn--mgba3a4f16a.,2,2,2,0,0,0,2
xn--mgbbh1a.,6,6,6,6,113,113,0
android.,5,5,5,4,27,27,1
suzuki.,4,4,4,4,73,73,0
wtc.,4,4,4,4,73,73,0
gent.,4,4,4,4,65,65,0
cl.,7,7,7,7,91,91,0
